from	to	TCGA-2Z-A9J5-01A	TCGA-2Z-A9JT-01A	TCGA-4A-A93X-01A
m00056m	m00792m	6.56147160988933	5.81840768164339	6.58862661365426
m00057c	m02941c	2.42797899034791	2.46391027189555	2.32849246406115
m00057m	m00793m	6.56147160988933	5.81840768164339	6.58862661365426
m00057p	m00793p	5.51411655351176	5.15953103791878	5.34927729112277
m00058c	m02643c	2.65606971469087	2.10214150468791	4.22717682725264
m00059m	m00183m	6.56147160988933	5.81840768164339	6.58862661365426
m00059p	m00183p	5.51411655351176	5.15953103791878	5.34927729112277
m00060c	m02687c	2.65606971469087	2.10214150468791	4.22717682725264
m00061m	m00795m	6.56147160988933	5.81840768164339	6.58862661365426
m00062c	m02693c	2.65606971469087	2.10214150468791	4.22717682725264
m00063m	m00797m	6.56147160988933	5.81840768164339	6.58862661365426
m00064c	m02971c	2.42797899034791	2.46391027189555	2.32849246406115
m00064p	m00800p	5.51411655351176	5.15953103791878	5.34927729112277
m00065c	m02972c	2.65606971469087	2.10214150468791	4.22717682725264
m00066m	m00178m	6.56147160988933	5.81840768164339	6.58862661365426
m00066p	m00178p	5.51411655351176	5.15953103791878	5.34927729112277
m00067c	m03047c	4.85595797069583	4.9278205337911	4.65291739330827
m00068c	m03048c	2.65606971469087	2.10214150468791	4.22717682725264
m00069m	m00804m	6.56147160988933	5.81840768164339	6.58862661365426
m00070c	m03115c	2.65606971469087	2.10214150468791	4.22717682725264
m00071m	m00806m	6.56147160988933	5.81840768164339	6.58862661365426
m00072m	m00089m	5.21867414802926	5.18857947718912	5.44973912164459
m00072p	m00089p	5.21867414802926	5.18857947718912	5.44973912164459
m00073m	m00697m	6.56147160988933	5.81840768164339	6.58862661365426
m00073p	m00697p	5.51411655351176	5.15953103791878	5.34927729112277
m00076p	m00080p	3.75746558994632	3.61360178166839	3.87475219396123
m00077p	m00078p	1.86238408045263	1.62662258646558	2.14020378546996
m00078p	m03027p	3.10677422418224	2.74446000793594	2.9623408637705
m00079p	m00685p	5.51411655351176	5.15953103791878	5.34927729112277
m00080p	m00079p	3.10677422418224	2.74446000793594	2.9623408637705
m00081m	m00855m	5.89473636259262	5.75525811243431	5.62267826542738
m00081p	m00855p	4.1778800860066	2.97008556937432	4.6859705959312
m00082m	m00883m	5.89473636259262	5.75525811243431	5.62267826542738
m00082p	m00883p	4.1778800860066	2.97008556937432	4.6859705959312
m00083m	m00884m	5.89473636259262	5.75525811243431	5.62267826542738
m00083p	m00884p	4.1778800860066	2.97008556937432	4.6859705959312
m00085c	m03008c	3.11515733751449	2.79849313595498	3.06499814535679
m00086c	m03005c	3.11515733751449	2.79849313595498	3.06499814535679
m00087c	m03007c	3.11515733751449	2.79849313595498	3.06499814535679
m00089m	m03009m	5.25749109874497	5.65123370886456	5.14467026486315
m00089p	m03009p	5.51411655351176	5.15953103791878	5.34927729112277
m00090p	m00686p	5.51411655351176	5.15953103791878	5.34927729112277
m00091m	m00072m	4.63742991598913	3.75484703596936	4.17573221026376
m00091m	m00834m	6.30060606502572	5.4614988749622	5.7136523494397
m00091p	m00072p	3.10677422418224	2.74446000793594	2.9623408637705
m00091p	m00834p	3.62122737349469	3.25957773089243	3.53116196012679
m00092c	m00092m	1.86786743183915	1.29545683972447	1.96539712531874
m00092c	m00092r	4.06598386541363	2.19137348968327	3.57242962554198
m00092c	m02348c	5.93385129725278	3.48683032940774	5.53782675086072
m00093c	m00092c	1.38060243455233	1.07190519368499	1.02105335153605
m00093c	m00094c	1.78881320338072	1.39466403003618	2.20557538061759
m00093c	m00451c	1.59810940842488	1.41958486938122	2.52918096331373
m00093m	m00092m	4.26433185405952	4.0821046523365	4.17779226859621
m00093m	m01261m	5.54500410557102	4.89804968913277	5.26493041316481
m00093r	m00092r	4.70321223766271	4.7844250134471	4.84460644840618
m00093r	m01467r	2.01196620479113	1.97874880598003	1.95790483014981
m00094c	m00093c	1.73425127731126	1.44838920252172	1.84410054144021
m00094c	m00094s	2.79217205690509	1.85018426996818	1.75925130729964
m00094c	m01285c	2.79217205690509	1.85018426996818	1.75925130729964
m00094r	m00093r	1.73425127731126	1.44838920252172	1.84410054144021
m00094s	m00094c	1.94176283507826	1.75803598757802	1.37786848138935
m00095c	m00450c	1.59810940842488	1.41958486938122	2.52918096331373
m00095c	m01689c	3.52306448069198	2.8430532325579	4.0496759220578
m00095c	m01723c	1.38060243455233	1.07190519368499	1.02105335153605
m00095m	m01261m	5.54500410557102	4.89804968913277	5.26493041316481
m00095m	m01723m	4.26433185405952	4.0821046523365	4.17779226859621
m00095r	m01466r	2.01196620479113	1.97874880598003	1.95790483014981
m00095r	m01689r	1.73425127731126	1.44838920252172	1.84410054144021
m00095r	m01723r	4.70321223766271	4.7844250134471	4.84460644840618
m00097s	m01127c	2.6682263743617	2.53145002102457	2.8821905147817
m00097s	m01307c	2.6682263743617	2.53145002102457	2.8821905147817
m00098c	m00386c	4.74021126276369	4.68224316950284	6.73572154952075
m00098c	m00388c	4.74021126276369	4.68224316950284	6.73572154952075
m00098p	m00386p	4.74021126276369	4.68224316950284	6.73572154952075
m00098p	m00388p	4.74021126276369	4.68224316950284	6.73572154952075
m00098r	m00386r	4.74021126276369	4.68224316950284	6.73572154952075
m00098r	m00388r	4.74021126276369	4.68224316950284	6.73572154952075
m00100c	m00100m	1.86786743183915	1.29545683972447	1.96539712531874
m00100c	m00100r	4.06598386541363	2.19137348968327	3.57242962554198
m00100c	m02348c	5.93385129725278	3.48683032940774	5.53782675086072
m00101c	m00100c	1.38060243455233	1.07190519368499	1.02105335153605
m00101c	m00453c	1.59810940842488	1.41958486938122	2.52918096331373
m00101c	m02457c	3.52306448069198	2.8430532325579	4.0496759220578
m00101m	m00100m	4.26433185405952	4.0821046523365	4.17779226859621
m00101m	m01261m	5.54500410557102	4.89804968913277	5.26493041316481
m00101r	m00100r	4.70321223766271	4.7844250134471	4.84460644840618
m00101r	m01469r	2.01196620479113	1.97874880598003	1.95790483014981
m00101r	m02457r	1.73425127731126	1.44838920252172	1.84410054144021
m00102c	m00102m	1.86786743183915	1.29545683972447	1.96539712531874
m00102c	m00102r	4.06598386541363	2.19137348968327	3.57242962554198
m00102c	m02348c	5.93385129725278	3.48683032940774	5.53782675086072
m00103c	m00102c	1.38060243455233	1.07190519368499	1.02105335153605
m00103c	m00452c	1.59810940842488	1.41958486938122	2.52918096331373
m00103c	m00863c	2.02729239472741	1.62230835919174	2.16070539811187
m00103c	m01784c	3.52306448069198	2.8430532325579	4.0496759220578
m00103m	m00102m	4.26433185405952	4.0821046523365	4.17779226859621
m00103m	m01261m	5.54500410557102	4.89804968913277	5.26493041316481
m00103r	m00102r	4.70321223766271	4.7844250134471	4.84460644840618
m00103r	m01468r	2.01196620479113	1.97874880598003	1.95790483014981
m00103r	m01784r	1.73425127731126	1.44838920252172	1.84410054144021
m00104c	m00104s	2.79217205690509	1.85018426996818	1.75925130729964
m00104c	m00106c	1.73425127731126	1.44838920252172	1.84410054144021
m00104c	m01285c	2.79217205690509	1.85018426996818	1.75925130729964
m00104r	m00106r	1.73425127731126	1.44838920252172	1.84410054144021
m00104s	m00104c	1.94176283507826	1.75803598757802	1.37786848138935
m00105c	m00105m	1.86786743183915	1.29545683972447	1.96539712531874
m00105c	m00105r	4.06598386541363	2.19137348968327	3.57242962554198
m00105c	m02348c	5.93385129725278	3.48683032940774	5.53782675086072
m00105r	m00106r	4.70321223766271	4.7844250134471	4.84460644840618
m00105r	m02348r	4.70321223766271	4.7844250134471	4.84460644840618
m00106c	m00104c	1.78881320338072	1.39466403003618	2.20557538061759
m00106c	m00105c	1.38060243455233	1.07190519368499	1.02105335153605
m00106c	m00458c	1.59810940842488	1.41958486938122	2.52918096331373
m00106c	m00871c	2.02729239472741	1.62230835919174	2.16070539811187
m00106m	m00105m	4.26433185405952	4.0821046523365	4.17779226859621
m00106m	m01261m	5.54500410557102	4.89804968913277	5.26493041316481
m00106r	m01474r	2.01196620479113	1.97874880598003	1.95790483014981
m00107c	m00107m	1.86786743183915	1.29545683972447	1.96539712531874
m00107c	m00107r	4.06598386541363	2.19137348968327	3.57242962554198
m00107c	m02348c	5.93385129725278	3.48683032940774	5.53782675086072
m00108c	m00107c	1.38060243455233	1.07190519368499	1.02105335153605
m00108c	m00457c	1.59810940842488	1.41958486938122	2.52918096331373
m00108c	m00811c	2.02729239472741	1.62230835919174	2.16070539811187
m00108c	m02939c	3.52306448069198	2.8430532325579	4.0496759220578
m00108m	m00107m	4.26433185405952	4.0821046523365	4.17779226859621
m00108m	m01261m	5.54500410557102	4.89804968913277	5.26493041316481
m00108r	m00107r	4.70321223766271	4.7844250134471	4.84460644840618
m00108r	m01473r	2.01196620479113	1.97874880598003	1.95790483014981
m00108r	m02939r	1.73425127731126	1.44838920252172	1.84410054144021
m00109c	m00109r	4.06598386541363	2.19137348968327	3.57242962554198
m00109c	m02348c	4.06598386541363	2.19137348968327	3.57242962554198
m00110c	m00109c	1.38060243455233	1.07190519368499	1.02105335153605
m00110c	m00110p	3.03984651454894	2.74735423473542	2.33612144414496
m00110c	m00111c	1.78881320338072	1.39466403003618	2.20557538061759
m00110c	m00456c	1.59810940842488	1.41958486938122	2.52918096331373
m00110p	m03028p	3.10677422418224	2.74446000793594	2.9623408637705
m00110r	m00109r	4.70321223766271	4.7844250134471	4.84460644840618
m00110r	m01472r	2.01196620479113	1.97874880598003	1.95790483014981
m00111c	m00110c	1.73425127731126	1.44838920252172	1.84410054144021
m00111c	m00111s	2.79217205690509	1.85018426996818	1.75925130729964
m00111c	m01285c	2.79217205690509	1.85018426996818	1.75925130729964
m00111r	m00110r	1.73425127731126	1.44838920252172	1.84410054144021
m00111s	m00111c	1.94176283507826	1.75803598757802	1.37786848138935
m00112c	m00112r	4.06598386541363	2.19137348968327	3.57242962554198
m00112c	m02348c	4.06598386541363	2.19137348968327	3.57242962554198
m00113c	m00112c	1.38060243455233	1.07190519368499	1.02105335153605
m00113c	m00113p	3.03984651454894	2.74735423473542	2.33612144414496
m00113c	m00114c	1.78881320338072	1.39466403003618	2.20557538061759
m00113c	m00455c	1.59810940842488	1.41958486938122	2.52918096331373
m00113p	m01664p	3.10677422418224	2.74446000793594	2.9623408637705
m00113r	m00112r	4.70321223766271	4.7844250134471	4.84460644840618
m00113r	m01471r	2.01196620479113	1.97874880598003	1.95790483014981
m00114c	m00113c	1.73425127731126	1.44838920252172	1.84410054144021
m00114c	m00114s	2.79217205690509	1.85018426996818	1.75925130729964
m00114c	m01285c	2.79217205690509	1.85018426996818	1.75925130729964
m00114r	m00113r	1.73425127731126	1.44838920252172	1.84410054144021
m00114s	m00114c	1.94176283507826	1.75803598757802	1.37786848138935
m00115c	m00115s	2.79217205690509	1.85018426996818	1.75925130729964
m00115c	m01285c	2.79217205690509	1.85018426996818	1.75925130729964
m00115s	m00115c	1.94176283507826	1.75803598757802	1.37786848138935
m00116c	m00115c	1.78881320338072	1.39466403003618	2.20557538061759
m00116c	m00462c	1.59810940842488	1.41958486938122	2.52918096331373
m00116c	m00852c	2.02729239472741	1.62230835919174	2.16070539811187
m00116c	m02638c	1.38060243455233	1.07190519368499	1.02105335153605
m00116m	m01261m	5.54500410557102	4.89804968913277	5.26493041316481
m00116m	m02638m	4.26433185405952	4.0821046523365	4.17779226859621
m00116r	m01478r	2.01196620479113	1.97874880598003	1.95790483014981
m00116r	m02638r	4.70321223766271	4.7844250134471	4.84460644840618
m00117c	m00117s	2.79217205690509	1.85018426996818	1.75925130729964
m00117c	m00118c	1.73425127731126	1.44838920252172	1.84410054144021
m00117c	m01285c	2.79217205690509	1.85018426996818	1.75925130729964
m00117r	m00118r	1.73425127731126	1.44838920252172	1.84410054144021
m00117s	m00117c	1.94176283507826	1.75803598757802	1.37786848138935
m00118c	m00117c	1.78881320338072	1.39466403003618	2.20557538061759
m00118c	m00463c	1.59810940842488	1.41958486938122	2.52918096331373
m00118c	m02975c	1.38060243455233	1.07190519368499	1.02105335153605
m00118m	m02975m	4.26433185405952	4.0821046523365	4.17779226859621
m00118m	m03023m	4.63742991598913	3.75484703596936	4.17573221026376
m00118p	m03023p	3.10677422418224	2.74446000793594	2.9623408637705
m00118r	m01479r	2.01196620479113	1.97874880598003	1.95790483014981
m00118r	m02975r	4.70321223766271	4.7844250134471	4.84460644840618
m00119c	m00460c	1.59810940842488	1.41958486938122	2.52918096331373
m00119c	m00903c	2.02729239472741	1.62230835919174	2.16070539811187
m00119c	m01291c	3.52306448069198	2.8430532325579	4.0496759220578
m00119c	m02636c	1.38060243455233	1.07190519368499	1.02105335153605
m00119m	m01261m	5.54500410557102	4.89804968913277	5.26493041316481
m00119m	m02636m	4.26433185405952	4.0821046523365	4.17779226859621
m00119r	m01291r	1.73425127731126	1.44838920252172	1.84410054144021
m00119r	m01476r	2.01196620479113	1.97874880598003	1.95790483014981
m00119r	m02636r	4.70321223766271	4.7844250134471	4.84460644840618
m00120c	m00120m	1.86786743183915	1.29545683972447	1.96539712531874
m00120c	m00120r	4.06598386541363	2.19137348968327	3.57242962554198
m00120c	m02348c	5.93385129725278	3.48683032940774	5.53782675086072
m00121c	m00120c	1.38060243455233	1.07190519368499	1.02105335153605
m00121c	m00459c	1.59810940842488	1.41958486938122	2.52918096331373
m00121c	m00902c	2.02729239472741	1.62230835919174	2.16070539811187
m00121c	m01741c	3.52306448069198	2.8430532325579	4.0496759220578
m00121m	m00120m	4.26433185405952	4.0821046523365	4.17779226859621
m00121m	m01261m	5.54500410557102	4.89804968913277	5.26493041316481
m00121r	m00120r	4.70321223766271	4.7844250134471	4.84460644840618
m00121r	m01475r	2.01196620479113	1.97874880598003	1.95790483014981
m00121r	m01741r	1.73425127731126	1.44838920252172	1.84410054144021
m00122c	m00122m	1.86786743183915	1.29545683972447	1.96539712531874
m00122c	m00122r	4.06598386541363	2.19137348968327	3.57242962554198
m00122c	m02348c	5.93385129725278	3.48683032940774	5.53782675086072
m00123c	m00101c	1.68830277046773	1.34138710911437	2.21737205096071
m00123c	m00122c	1.38060243455233	1.07190519368499	1.02105335153605
m00123c	m00465c	1.59810940842488	1.41958486938122	2.52918096331373
m00123c	m01207c	3.52306448069198	2.8430532325579	4.0496759220578
m00123m	m00122m	4.26433185405952	4.0821046523365	4.17779226859621
m00123m	m01261m	5.54500410557102	4.89804968913277	5.26493041316481
m00123r	m00122r	4.70321223766271	4.7844250134471	4.84460644840618
m00123r	m01207r	1.73425127731126	1.44838920252172	1.84410054144021
m00123r	m01481r	2.01196620479113	1.97874880598003	1.95790483014981
m00124c	m00124m	1.86786743183915	1.29545683972447	1.96539712531874
m00124c	m00124r	4.06598386541363	2.19137348968327	3.57242962554198
m00124c	m02348c	5.93385129725278	3.48683032940774	5.53782675086072
m00125c	m00103c	1.68830277046773	1.34138710911437	2.21737205096071
m00125c	m00124c	1.38060243455233	1.07190519368499	1.02105335153605
m00125c	m00464c	1.59810940842488	1.41958486938122	2.52918096331373
m00125c	m00861c	2.02729239472741	1.62230835919174	2.16070539811187
m00125c	m02648c	3.52306448069198	2.8430532325579	4.0496759220578
m00125m	m00124m	4.26433185405952	4.0821046523365	4.17779226859621
m00125m	m01261m	5.54500410557102	4.89804968913277	5.26493041316481
m00125r	m00124r	4.70321223766271	4.7844250134471	4.84460644840618
m00125r	m01480r	2.01196620479113	1.97874880598003	1.95790483014981
m00125r	m02648r	1.73425127731126	1.44838920252172	1.84410054144021
m00126c	m00126m	1.86786743183915	1.29545683972447	1.96539712531874
m00126c	m00126r	4.06598386541363	2.19137348968327	3.57242962554198
m00126c	m02348c	5.93385129725278	3.48683032940774	5.53782675086072
m00126r	m00127r	4.70321223766271	4.7844250134471	4.84460644840618
m00126r	m02348r	4.70321223766271	4.7844250134471	4.84460644840618
m00127c	m00126c	1.38060243455233	1.07190519368499	1.02105335153605
m00127c	m00470c	1.59810940842488	1.41958486938122	2.52918096331373
