Rxn.name	Gene.reaction.association
HMR_4416	ENSG00000102393 or ENSG00000170266 or ENSG00000241343
HMR_4774	ENSG00000067057 or ENSG00000141959 or ENSG00000152556
HMR_4775	ENSG00000067057 or ENSG00000141959 or ENSG00000152556
HMR_4831	
HMR_4832	ENSG00000115850 and ENSG00000163521 and ENSG00000170266 and ENSG00000188167
HMR_7674	ENSG00000086062 or ENSG00000117411 or ENSG00000167531
HMR_8761	ENSG00000138030
HMR_8762	ENSG00000109107 or ENSG00000136872 or ENSG00000149925 or ENSG00000285043
HMR_8764	ENSG00000115850
HMR_8766	ENSG00000085662 or ENSG00000198074
HMR_8767	ENSG00000213930
HMR_0454	
HMR_4297	ENSG00000114268 or ENSG00000123836 or ENSG00000158571 or ENSG00000170525
HMR_4310	ENSG00000138030
HMR_4315	ENSG00000140263
HMR_4316	ENSG00000085662 or ENSG00000198074
HMR_4317	ENSG00000116199 or ENSG00000141560 or ENSG00000162408 or ENSG00000167363 or ENSG00000172456
HMR_4318	ENSG00000116199 or ENSG00000141560 or ENSG00000162408 or ENSG00000167363 or ENSG00000172456
HMR_4319	ENSG00000156510 or ENSG00000156515 or ENSG00000159399 or ENSG00000160883
HMR_4320	ENSG00000116199 or ENSG00000141560 or ENSG00000162408 or ENSG00000167363 or ENSG00000172456
HMR_4356	ENSG00000109107 or ENSG00000136872 or ENSG00000149925 or ENSG00000285043
HMR_4383	ENSG00000178802
HMR_4385	ENSG00000100413 or ENSG00000100417 or ENSG00000140650
HMR_4386	ENSG00000144591 or ENSG00000164068 or ENSG00000173540 or ENSG00000176020
HMR_4387	ENSG00000144591 or ENSG00000173540 or ENSG00000176020
HMR_4399	ENSG00000112699
HMR_4400	ENSG00000104522
HMR_4401	ENSG00000116783 or ENSG00000254685 or ENSG00000259030
HMR_4402	ENSG00000157353
HMR_4403	
HMR_4490	ENSG00000156510 or ENSG00000156515 or ENSG00000159399 or ENSG00000160883
HMR_4706	ENSG00000078237 or ENSG00000108813 or ENSG00000114268 or ENSG00000123836 or ENSG00000158571 or ENSG00000170525
HMR_8768	ENSG00000104522
HMR_4590	ENSG00000169738
HMR_4591	ENSG00000115425 or ENSG00000116353
HMR_4592	ENSG00000085662 or ENSG00000198074
HMR_4593	ENSG00000140263
HMR_4594	ENSG00000104808
HMR_4595	ENSG00000093217
HMR_8341	ENSG00000053371 or ENSG00000085662 or ENSG00000117448
HMR_8342	
HMR_8344	ENSG00000117448
HMR_8352	ENSG00000165475
HMR_8353	
HMR_8726	ENSG00000171174
HMR_8727	ENSG00000120697
HMR_8728	
HMR_8729	ENSG00000115652
HMR_6537	ENSG00000117448
HMR_1568	ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254
HMR_3853	ENSG00000124767 or ENSG00000167699
HMR_3854	ENSG00000085662 or ENSG00000198074
HMR_3855	ENSG00000085662 or ENSG00000198074
HMR_3857	ENSG00000063854 or ENSG00000103253
HMR_3859	ENSG00000166816 or ENSG00000182224
HMR_4087	ENSG00000082212 or ENSG00000151376
HMR_4089	ENSG00000013392 or ENSG00000065833
HMR_4091	ENSG00000082212 or ENSG00000151376
HMR_4093	ENSG00000172497
HMR_4095	ENSG00000172497
HMR_4101	ENSG00000124253
HMR_4103	ENSG00000100889
HMR_4143	ENSG00000173599
HMR_4193	ENSG00000067225 or ENSG00000143627
HMR_8497	ENSG00000053371 or ENSG00000085662 or ENSG00000117448
HMR_8498	ENSG00000130649
HMR_8499	ENSG00000130649
HMR_8500	ENSG00000053371 or ENSG00000085662 or ENSG00000117448
HMR_8501	ENSG00000137106
HMR_8502	ENSG00000147576 or ENSG00000172955 or ENSG00000187758 or ENSG00000196344 or ENSG00000196616 or ENSG00000197894 or ENSG00000198099 or ENSG00000248144
HMR_8503	ENSG00000006534 or ENSG00000072210 or ENSG00000108602 or ENSG00000132746 or ENSG00000143149 or ENSG00000164904 or ENSG00000184254
HMR_8504	ENSG00000072210 or ENSG00000111275 or ENSG00000137124 or ENSG00000143149 or ENSG00000164904
HMR_8506	ENSG00000072210 or ENSG00000111275 or ENSG00000137124 or ENSG00000143149 or ENSG00000164904
HMR_8507	ENSG00000147576 or ENSG00000172955 or ENSG00000180011 or ENSG00000187758 or ENSG00000196344 or ENSG00000196616 or ENSG00000197894 or ENSG00000198099 or ENSG00000248144
HMR_8508	ENSG00000147576 or ENSG00000172955 or ENSG00000180011 or ENSG00000187758 or ENSG00000196344 or ENSG00000196616 or ENSG00000197894 or ENSG00000198099 or ENSG00000248144
HMR_8509	ENSG00000053371 or ENSG00000085662 or ENSG00000117448
HMR_8511	ENSG00000063854 or ENSG00000103253
HMR_8512	ENSG00000166816
HMR_8514	ENSG00000166816 or ENSG00000182224
HMR_8516	ENSG00000148090
HMR_8517	
HMR_4280	ENSG00000111716 or ENSG00000134333 or ENSG00000151116 or ENSG00000166796 or ENSG00000166800 or ENSG00000171989
HMR_0153	ENSG00000111058 or ENSG00000131069 or ENSG00000154930
HMR_3212	ENSG00000111271 or ENSG00000117054 or ENSG00000122971 or ENSG00000151498 or ENSG00000177646 or ENSG00000196177 or ENSG00000240303
HMR_3797	ENSG00000111058 or ENSG00000131069 or ENSG00000154930
HMR_3800	ENSG00000083123 and ENSG00000091140 and ENSG00000137992 and ENSG00000248098
HMR_4105	ENSG00000103150
HMR_4106	ENSG00000103150
HMR_4107	ENSG00000103150
HMR_4282	ENSG00000119711
HMR_4331	ENSG00000111058 or ENSG00000131069 or ENSG00000154930
HMR_4459	ENSG00000111058 or ENSG00000131069 or ENSG00000154930
HMR_4460	ENSG00000111058 or ENSG00000131069 or ENSG00000154930
HMR_4464	
HMR_4497	ENSG00000116133
HMR_4741	ENSG00000198130
HMR_8078	
HMR_9803	
HMR_9804	ENSG00000087076 or ENSG00000099377 or ENSG00000100867 or ENSG00000109854 or ENSG00000121039 or ENSG00000138400 or ENSG00000139988 or ENSG00000145439 or ENSG00000159692 or ENSG00000160439 or ENSG00000164039 or ENSG00000167733 or ENSG00000170426 or ENSG00000170786 or ENSG00000176387 or ENSG00000183921 or ENSG00000184860 or ENSG00000186153 or ENSG00000187134 or ENSG00000197894 or ENSG00000198074 or ENSG00000198189 or ENSG00000198610 or ENSG00000204228 or ENSG00000227471 or ENSG00000240857
HMR_0718	ENSG00000087299
HMR_0719	ENSG00000092621
HMR_1434	ENSG00000120437
HMR_1436	ENSG00000081760
HMR_3163	ENSG00000111271 or ENSG00000117054 or ENSG00000122971 or ENSG00000151498 or ENSG00000177646 or ENSG00000196177 or ENSG00000240303
HMR_4461	ENSG00000161267 or ENSG00000164039
HMR_4604	ENSG00000112972
HMR_5351	ENSG00000111716 or ENSG00000151116 or ENSG00000166796 or ENSG00000166800 or ENSG00000171989
HMR_7709	ENSG00000121310
HMR_4052	ENSG00000101911 or ENSG00000147224 or ENSG00000229937
HMR_4304	ENSG00000160211
HMR_4306	ENSG00000160211
HMR_4350	ENSG00000158019 or ENSG00000171174
HMR_4351	ENSG00000153574
HMR_4352	ENSG00000153574
HMR_4354	ENSG00000079739 or ENSG00000169299
HMR_4398	ENSG00000023697
HMR_4404	ENSG00000007350 or ENSG00000151005 or ENSG00000163931
HMR_4473	ENSG00000142657
HMR_4474	ENSG00000142657
HMR_4476	ENSG00000130066 or ENSG00000141504
HMR_4477	ENSG00000197713 or ENSG00000235376
HMR_4501	ENSG00000007350 or ENSG00000151005 or ENSG00000163931
HMR_4565	ENSG00000177156
HMR_4567	ENSG00000067057 or ENSG00000141959 or ENSG00000152556
HMR_4568	ENSG00000067057 or ENSG00000141959 or ENSG00000152556
HMR_9799	ENSG00000197417
HMR_9800	ENSG00000138030
HMR_4623	ENSG00000049239 or ENSG00000130313
HMR_4625	ENSG00000049239 or ENSG00000130313
HMR_4710	ENSG00000169299 or ENSG00000180953
HMR_4841	ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254
HMR_8074	ENSG00000158019 or ENSG00000171174
HMR_8653	ENSG00000049239 or ENSG00000130313
