Rxn.name	Gene.reaction.association
HMR_1191	ENSG00000157326 or ENSG00000159228 or ENSG00000159231
HMR_1192	ENSG00000157326 or ENSG00000159228 or ENSG00000159231
HMR_1193	ENSG00000021461 or ENSG00000100197 or ENSG00000106258 or ENSG00000108242 or ENSG00000130649 or ENSG00000134716 or ENSG00000137869 or ENSG00000138061 or ENSG00000138109 or ENSG00000138115 or ENSG00000140465 or ENSG00000140505 or ENSG00000142973 or ENSG00000155016 or ENSG00000160868 or ENSG00000160870 or ENSG00000165841 or ENSG00000167600 or ENSG00000171903 or ENSG00000186160 or ENSG00000186204 or ENSG00000186377 or ENSG00000186526 or ENSG00000197408 or ENSG00000197446 or ENSG00000197838 or ENSG00000198077 or ENSG00000255974 or ENSG00000282301
HMR_1194	ENSG00000021461 or ENSG00000100197 or ENSG00000106258 or ENSG00000108242 or ENSG00000130649 or ENSG00000134716 or ENSG00000137869 or ENSG00000138061 or ENSG00000138109 or ENSG00000138115 or ENSG00000140465 or ENSG00000140505 or ENSG00000142973 or ENSG00000155016 or ENSG00000160868 or ENSG00000160870 or ENSG00000165841 or ENSG00000167600 or ENSG00000171903 or ENSG00000186160 or ENSG00000186204 or ENSG00000186377 or ENSG00000186526 or ENSG00000197408 or ENSG00000197446 or ENSG00000197838 or ENSG00000198077 or ENSG00000255974 or ENSG00000282301
HMR_1195	ENSG00000021461 or ENSG00000100197 or ENSG00000106258 or ENSG00000108242 or ENSG00000130649 or ENSG00000134716 or ENSG00000137869 or ENSG00000138061 or ENSG00000138109 or ENSG00000138115 or ENSG00000140465 or ENSG00000140505 or ENSG00000142973 or ENSG00000155016 or ENSG00000160868 or ENSG00000160870 or ENSG00000165841 or ENSG00000167600 or ENSG00000171903 or ENSG00000186160 or ENSG00000186204 or ENSG00000186377 or ENSG00000186526 or ENSG00000197408 or ENSG00000197446 or ENSG00000197838 or ENSG00000198077 or ENSG00000255974 or ENSG00000282301
HMR_1196	ENSG00000021461 or ENSG00000100197 or ENSG00000106258 or ENSG00000108242 or ENSG00000130649 or ENSG00000134716 or ENSG00000137869 or ENSG00000138061 or ENSG00000138109 or ENSG00000138115 or ENSG00000140465 or ENSG00000140505 or ENSG00000142973 or ENSG00000155016 or ENSG00000160868 or ENSG00000160870 or ENSG00000165841 or ENSG00000167600 or ENSG00000171903 or ENSG00000186160 or ENSG00000186204 or ENSG00000186377 or ENSG00000186526 or ENSG00000197408 or ENSG00000197446 or ENSG00000197838 or ENSG00000198077 or ENSG00000255974 or ENSG00000282301
HMR_1197	
HMR_1198	
HMR_1199	
HMR_1200	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142 or ENSG00000239642
HMR_1201	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142 or ENSG00000239642
HMR_1202	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142 or ENSG00000239642
HMR_1203	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142 or ENSG00000239642
HMR_1204	ENSG00000087008 or ENSG00000161533
HMR_1205	ENSG00000087008 or ENSG00000161533
HMR_1206	ENSG00000084754 and ENSG00000113790 and ENSG00000127884
HMR_1207	ENSG00000084754 and ENSG00000113790 and ENSG00000167969 and ENSG00000198721
HMR_1208	ENSG00000072506 and ENSG00000084754 and ENSG00000138796
HMR_1209	ENSG00000060971 and ENSG00000113790 and ENSG00000133835
HMR_1210	ENSG00000084754 and ENSG00000138029 and ENSG00000167315
HMR_1211	ENSG00000060971 and ENSG00000167306
HMR_1212	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_1213	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_1228	ENSG00000106853 or ENSG00000149084 or ENSG00000205678
HMR_1229	ENSG00000106853 or ENSG00000149084 or ENSG00000205678
HMR_1230	ENSG00000106853 or ENSG00000149084 or ENSG00000205678
HMR_1231	ENSG00000157326 or ENSG00000159228 or ENSG00000159231
HMR_1232	ENSG00000157326 or ENSG00000159228 or ENSG00000159231
HMR_1233	ENSG00000157326 or ENSG00000159228 or ENSG00000159231
HMR_1234	ENSG00000171903 or ENSG00000171954 or ENSG00000186115 or ENSG00000186526 or ENSG00000186529
HMR_1235	ENSG00000171903 or ENSG00000171954 or ENSG00000186115 or ENSG00000186526 or ENSG00000186529
HMR_1236	ENSG00000171903 or ENSG00000171954 or ENSG00000186115 or ENSG00000186526 or ENSG00000186529
HMR_1237	ENSG00000171903 or ENSG00000171954 or ENSG00000186115 or ENSG00000186526 or ENSG00000186529
HMR_1238	ENSG00000171903 or ENSG00000171954 or ENSG00000186115 or ENSG00000186526 or ENSG00000186529
HMR_1239	ENSG00000171903 or ENSG00000171954 or ENSG00000186115 or ENSG00000186526 or ENSG00000186529
HMR_1241	
HMR_1244	ENSG00000157326 or ENSG00000159228 or ENSG00000159231
HMR_1245	ENSG00000157326 or ENSG00000159228 or ENSG00000159231
HMR_1246	ENSG00000157326 or ENSG00000159228 or ENSG00000159231
HMR_1247	
HMR_1248	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142 or ENSG00000239642
HMR_1249	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142 or ENSG00000239642
HMR_1250	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142 or ENSG00000239642
HMR_1251	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142 or ENSG00000239642
HMR_1253	ENSG00000087008 or ENSG00000161533
HMR_1254	ENSG00000087008 or ENSG00000161533
HMR_1255	ENSG00000084754 and ENSG00000113790 and ENSG00000127884
HMR_1256	ENSG00000084754 and ENSG00000113790 and ENSG00000167969 and ENSG00000198721
HMR_1257	ENSG00000072506 and ENSG00000084754 and ENSG00000138796
HMR_1258	ENSG00000060971 and ENSG00000113790 and ENSG00000133835
HMR_1259	ENSG00000084754 and ENSG00000138029 and ENSG00000167315
HMR_1260	ENSG00000060971 and ENSG00000167306
HMR_1261	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_1262	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_1263	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142 or ENSG00000239642
HMR_1264	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142 or ENSG00000239642
HMR_1265	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142 or ENSG00000239642
HMR_1266	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142 or ENSG00000239642
HMR_1270	ENSG00000087008 or ENSG00000161533
HMR_1271	ENSG00000087008 or ENSG00000161533
HMR_1272	ENSG00000084754 and ENSG00000113790 and ENSG00000127884
HMR_1273	ENSG00000084754 and ENSG00000113790 and ENSG00000167969 and ENSG00000198721
HMR_1274	ENSG00000072506 and ENSG00000084754 and ENSG00000138796
HMR_1275	ENSG00000060971 and ENSG00000113790 and ENSG00000133835
HMR_1276	ENSG00000084754 and ENSG00000138029 and ENSG00000167315
HMR_1277	ENSG00000060971 and ENSG00000167306
HMR_1278	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_1279	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_1280	ENSG00000157326 or ENSG00000159228 or ENSG00000159231
HMR_1281	ENSG00000157326 or ENSG00000159228 or ENSG00000159231
HMR_1282	ENSG00000157326 or ENSG00000159228 or ENSG00000159231
HMR_1285	
HMR_1287	
HMR_1288	ENSG00000147576 or ENSG00000172955 or ENSG00000187758 or ENSG00000196344 or ENSG00000196616 or ENSG00000197894 or ENSG00000198099 or ENSG00000248144
HMR_1289	ENSG00000072210 or ENSG00000111275 or ENSG00000137124 or ENSG00000143149 or ENSG00000164904
HMR_1290	ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142 or ENSG00000239642
HMR_1291	ENSG00000087008 or ENSG00000161533
HMR_1292	ENSG00000084754 and ENSG00000113790 and ENSG00000167969 and ENSG00000198721
HMR_1293	ENSG00000060971 and ENSG00000113790 and ENSG00000133835
HMR_1294	ENSG00000060971 and ENSG00000167306
HMR_1295	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_1296	ENSG00000060971 or ENSG00000087008 or ENSG00000161533 or ENSG00000168306
HMR_1297	ENSG00000104325 or ENSG00000242612
HMR_1298	ENSG00000084754 and ENSG00000113790 and ENSG00000167969 and ENSG00000198721
HMR_1299	ENSG00000084754 and ENSG00000113790 and ENSG00000167969 and ENSG00000198721
HMR_1300	ENSG00000060971 and ENSG00000113790 and ENSG00000133835
HMR_1301	ENSG00000060971 and ENSG00000167306
HMR_1302	ENSG00000101473 or ENSG00000136881
HMR_1303	ENSG00000087008 or ENSG00000161533
HMR_1304	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_4796	ENSG00000099998 or ENSG00000100031 or ENSG00000100121 or ENSG00000131067 or ENSG00000133475 or ENSG00000167741 or ENSG00000274252
HMR_8545	ENSG00000179477
HMR_8546	ENSG00000157326 or ENSG00000159228 or ENSG00000159231
HMR_8547	
HMR_8548	ENSG00000099998 or ENSG00000100031 or ENSG00000100121 or ENSG00000131067 or ENSG00000133475 or ENSG00000149435 or ENSG00000167741
HMR_8549	
HMR_8550	ENSG00000213316
HMR_8552	
HMR_8554	ENSG00000197446
HMR_8555	ENSG00000186526
HMR_8556	ENSG00000186204
HMR_8557	ENSG00000073756 or ENSG00000095303
HMR_8558	ENSG00000073756 or ENSG00000095303
HMR_8559	ENSG00000107317 or ENSG00000163106
HMR_8560	ENSG00000110958 or ENSG00000148334 or ENSG00000148344
HMR_8561	
HMR_0154	ENSG00000097021 or ENSG00000119673 or ENSG00000123130 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0189	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0193	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0197	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0201	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0206	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0210	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0214	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0223	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0230	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0234	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0238	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0242	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0246	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0250	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0256	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0260	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0264	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0268	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0272	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0276	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0280	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0284	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0290	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0294	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0298	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0302	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0306	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0310	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0314	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0320	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0324	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0328	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0332	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0338	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0342	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0346	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0350	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0354	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0358	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0362	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0366	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0370	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0374	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0378	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0382	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0386	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0390	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0394	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0398	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0402	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0406	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0410	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0414	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0418	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0422	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0426	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0430	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0434	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_0438	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_3009	ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669
HMR_3475	ENSG00000101473
HMR_3476	
HMR_3477	
HMR_0159	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2591	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2594	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2599	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2602	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2605	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2608	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2611	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2614	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2620	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2623	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2626	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2633	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2636	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2642	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2648	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2651	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2654	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2657	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2660	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2663	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2666	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2669	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2672	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2675	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2678	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2681	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2684	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2687	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2690	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2693	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2699	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2702	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2705	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2708	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2711	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2714	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2717	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2720	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2726	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2730	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2733	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2736	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2739	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2742	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2746	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2752	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2755	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2759	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2762	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2768	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2771	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2774	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_2877	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_3032	ENSG00000110090 or ENSG00000169169 or ENSG00000205560
HMR_3521	
HMR_8419	
HMR_0160	ENSG00000178537
HMR_0161	ENSG00000095321 or ENSG00000157184
HMR_0162	ENSG00000178537
HMR_0163	ENSG00000005469
HMR_2592	ENSG00000178537 or ENSG00000197119
HMR_2593	ENSG00000095321 or ENSG00000157184
HMR_2596	ENSG00000178537 or ENSG00000197119
HMR_2598	ENSG00000095321 or ENSG00000157184
HMR_2600	ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208
HMR_2601	ENSG00000095321 or ENSG00000157184
HMR_2603	ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208
HMR_2604	ENSG00000095321 or ENSG00000157184
HMR_2606	ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208
HMR_2607	ENSG00000095321 or ENSG00000157184
HMR_2609	ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208
HMR_2610	ENSG00000095321 or ENSG00000157184
HMR_2612	ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208
HMR_2613	ENSG00000095321 or ENSG00000157184
HMR_2616	ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208
HMR_2618	ENSG00000095321 or ENSG00000157184
HMR_2621	ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208
HMR_2622	ENSG00000095321 or ENSG00000157184
HMR_2624	ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208
HMR_2625	ENSG00000095321 or ENSG00000157184
HMR_2629	ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208
HMR_2630	ENSG00000095321 or ENSG00000157184
HMR_2634	ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208
HMR_2635	ENSG00000095321 or ENSG00000157184
HMR_2638	ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208
HMR_2640	ENSG00000095321 or ENSG00000157184
HMR_2644	ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208
HMR_2646	ENSG00000095321 or ENSG00000157184
HMR_2649	ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208
HMR_2650	ENSG00000095321 or ENSG00000157184
HMR_2652	ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208
HMR_2653	ENSG00000095321 or ENSG00000157184
HMR_2655	ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208
HMR_2656	ENSG00000095321 or ENSG00000157184
HMR_2658	ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208
HMR_2659	ENSG00000095321 or ENSG00000157184
HMR_2661	ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208
HMR_2662	ENSG00000095321 or ENSG00000157184
HMR_2664	ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208
HMR_2665	ENSG00000095321 or ENSG00000157184
HMR_2667	ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208
HMR_2668	ENSG00000095321 or ENSG00000157184
HMR_2670	ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208
HMR_2671	ENSG00000095321 or ENSG00000157184
HMR_2673	ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208
HMR_2674	ENSG00000095321 or ENSG00000157184
HMR_2676	ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208
HMR_2677	ENSG00000095321 or ENSG00000157184
HMR_2679	ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208
HMR_2680	ENSG00000095321 or ENSG00000157184
HMR_2682	ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208
HMR_2683	ENSG00000095321 or ENSG00000157184
HMR_2685	ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208
HMR_2686	ENSG00000095321 or ENSG00000157184
HMR_2688	ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208
